arrival_date,arrival_time,depart_date,depart_time,price,seats,tclass,title,scrape_datetime,arrival_datetime,depart_datetime
2020-01-08 00:00:00.000000,17:38:00,2020-01-08 00:00:00.000000,14:25:00,150000.0,99,eksekutif (Subclass J),argo parahyangan 68F,2020-01-08 00:47:36.598803,2020-01-08 17:38:00.000000,2020-01-08 14:25:00.000000
2020-01-08 00:00:00.000000,20:59:00,2020-01-08 00:00:00.000000,17:45:00,150000.0,99,eksekutif (Subclass J),argo parahyangan 46,2020-01-08 00:47:36.598803,2020-01-08 20:59:00.000000,2020-01-08 17:45:00.000000
2020-01-09 00:00:00.000000,01:27:00,2020-01-08 00:00:00.000000,22:05:00,150000.0,99,eksekutif (Subclass J),argo parahyangan 50,2020-01-08 00:47:36.598803,2020-01-09 01:27:00.000000,2020-01-08 22:05:00.000000
2020-01-09 00:00:00.000000,02:05:00,2020-01-08 00:00:00.000000,22:55:00,150000.0,99,eksekutif (Subclass J),argo parahyangan 52,2020-01-08 00:47:36.598803,2020-01-09 02:05:00.000000,2020-01-08 22:55:00.000000
2020-01-09 00:00:00.000000,02:40:00,2020-01-08 00:00:00.000000,23:30:00,150000.0,99,eksekutif (Subclass J),argo parahyangan 70F,2020-01-08 00:47:36.598803,2020-01-09 02:40:00.000000,2020-01-08 23:30:00.000000
2020-01-08 00:00:00.000000,08:07:00,2020-01-08 00:00:00.000000,05:00:00,170000.0,99,eksekutif (Subclass H),argo wilis 2,2020-01-08 00:47:36.598803,2020-01-08 08:07:00.000000,2020-01-08 05:00:00.000000
2020-01-08 00:00:00.000000,08:07:00,2020-01-08 00:00:00.000000,05:00:00,170000.0,9,eksekutif (Subclass I),argo wilis 2,2020-01-08 00:47:36.598803,2020-01-08 08:07:00.000000,2020-01-08 05:00:00.000000
2020-01-08 00:00:00.000000,17:12:00,2020-01-08 00:00:00.000000,14:00:00,170000.0,99,eksekutif (Subclass I),turangga 78,2020-01-08 00:47:36.598803,2020-01-08 17:12:00.000000,2020-01-08 14:00:00.000000
2020-01-08 00:00:00.000000,17:12:00,2020-01-08 00:00:00.000000,14:00:00,170000.0,99,eksekutif (Subclass H),turangga 78,2020-01-08 00:47:36.598803,2020-01-08 17:12:00.000000,2020-01-08 14:00:00.000000
2020-01-08 00:00:00.000000,20:29:00,2020-01-08 00:00:00.000000,17:10:00,170000.0,6,eksekutif (Subclass I),mutiara selatan 104,2020-01-08 00:47:36.598803,2020-01-08 20:29:00.000000,2020-01-08 17:10:00.000000
