arrival_date,depart_date,depart_time,price,seats,tclass,title,scrape_date,arrival_time
1/8/2020,1/8/2020,6:15,,0,eksekutif (Subclass I),argo parahyangan 38,1/7/2020,9:49
1/8/2020,1/8/2020,7:12,,0,eksekutif (Subclass I),argo parahyangan 56,1/7/2020,10:31
1/8/2020,1/8/2020,8:55,,0,eksekutif (Subclass I),argo parahyangan 40,1/7/2020,12:13
1/8/2020,1/8/2020,10:45,,0,eksekutif (Subclass I),argo parahyangan 42,1/7/2020,14:09
1/8/2020,1/8/2020,13:10,,0,eksekutif (Subclass I),argo parahyangan 54,1/7/2020,16:33
1/8/2020,1/8/2020,14:25,,0,eksekutif (Subclass I),argo parahyangan 68F,1/7/2020,17:38
1/8/2020,1/8/2020,15:40,,0,eksekutif (Subclass I),argo parahyangan excellence 44,1/7/2020,18:30
1/8/2020,1/8/2020,17:45,,0,eksekutif (Subclass I),argo parahyangan 46,1/7/2020,20:59
1/8/2020,1/8/2020,18:45,,0,eksekutif (Subclass I),argo parahyangan 48,1/7/2020,22:08
1/9/2020,1/8/2020,22:05,,0,eksekutif (Subclass I),argo parahyangan 50,1/7/2020,1:27
1/9/2020,1/8/2020,22:55,,0,eksekutif (Subclass I),argo parahyangan 52,1/7/2020,2:05
1/9/2020,1/8/2020,23:30,,0,eksekutif (Subclass I),argo parahyangan 70F,1/7/2020,2:40
1/8/2020,1/8/2020,5:30,,0,eksekutif (Subclass H),argo parahyangan 36,1/7/2020,8:46
1/8/2020,1/8/2020,6:15,,0,eksekutif (Subclass H),argo parahyangan 38,1/7/2020,9:49
1/8/2020,1/8/2020,7:12,,0,eksekutif (Subclass H),argo parahyangan 56,1/7/2020,10:31
1/8/2020,1/8/2020,8:55,,0,eksekutif (Subclass H),argo parahyangan 40,1/7/2020,12:13
1/8/2020,1/8/2020,10:45,,0,eksekutif (Subclass H),argo parahyangan 42,1/7/2020,14:09
1/8/2020,1/8/2020,13:10,,0,eksekutif (Subclass H),argo parahyangan 54,1/7/2020,16:33
1/8/2020,1/8/2020,14:25,,0,eksekutif (Subclass H),argo parahyangan 68F,1/7/2020,17:38
1/8/2020,1/8/2020,15:40,,0,eksekutif (Subclass H),argo parahyangan excellence 44,1/7/2020,18:30
1/8/2020,1/8/2020,17:45,,0,eksekutif (Subclass H),argo parahyangan 46,1/7/2020,20:59
1/8/2020,1/8/2020,18:45,,0,eksekutif (Subclass H),argo parahyangan 48,1/7/2020,22:08
1/9/2020,1/8/2020,22:05,,0,eksekutif (Subclass H),argo parahyangan 50,1/7/2020,1:27
1/9/2020,1/8/2020,22:55,,0,eksekutif (Subclass H),argo parahyangan 52,1/7/2020,2:05
1/9/2020,1/8/2020,23:30,,0,eksekutif (Subclass H),argo parahyangan 70F,1/7/2020,2:40
1/8/2020,1/8/2020,5:00,,0,eksekutif (Subclass AA),argo wilis 2,1/7/2020,8:07
1/8/2020,1/8/2020,5:00,,0,eksekutif (Subclass J),argo wilis 2,1/7/2020,8:07
1/8/2020,1/8/2020,5:00,,0,eksekutif (Subclass A),argo wilis 2,1/7/2020,8:07
1/8/2020,1/8/2020,14:00,,0,eksekutif (Subclass AA),turangga 78,1/7/2020,17:12
1/8/2020,1/8/2020,14:00,,0,eksekutif (Subclass A),turangga 78,1/7/2020,17:12
1/8/2020,1/8/2020,14:00,,0,eksekutif (Subclass J),turangga 78,1/7/2020,17:12
1/8/2020,1/8/2020,17:10,,0,eksekutif (Subclass AA),mutiara selatan 104,1/7/2020,20:29
1/8/2020,1/8/2020,17:10,,0,eksekutif (Subclass A),mutiara selatan 104,1/7/2020,20:29
1/8/2020,1/8/2020,5:30,,0,eksekutif (Subclass I),argo parahyangan priority 36P,1/7/2020,8:46
1/8/2020,1/8/2020,10:45,,0,eksekutif (Subclass I),argo parahyangan priority 42P,1/7/2020,14:09
1/8/2020,1/8/2020,18:45,,0,eksekutif (Subclass I),argo parahyangan priority 48P,1/7/2020,22:08
1/8/2020,1/8/2020,7:12,,0,eksekutif (Subclass H),argo parahyangan luxury 56L,1/7/2020,10:31
1/8/2020,1/8/2020,7:12,,0,eksekutif (Subclass A),argo parahyangan luxury 56L,1/7/2020,10:31
